DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
Beast Stalker (Tai Seng)|Tai Seng||Discontinued|SUB|LBX, 16:9|7.95|NR|2008|Foreign|1.85:1|507120600016|2009-05-26 00:00:00|159207|2013-11-27 00:00:00|1
Beasts Of Winter|Pathfinder|2014-02-04 00:00:00|Pending|SUB|LBX, 16:9|24.98|NR|2010|Foreign|1.85:1|825307931099|2014-02-04 00:00:00|256434|2013-11-26 00:00:00|0
Beauty And The Breast|Tai Seng||Discontinued|5.1|LBX|14.95|NR|2002|Comedy|1.85:1|601641136549|2002-06-25 00:00:00|17638|2013-11-27 00:00:00|1
Beauty Investigator|Tai Seng||Discontinued|2.0|LBX|9.95|NR|1992|Foreign|1.85:1|601643586144|2001-02-06 00:00:00|581|2013-11-27 00:00:00|1
Beauty On Duty!|Tai Seng||Discontinued|SUB|LBX, 16:9|14.98|NR|2010|Foreign|2.35:1|112121561015|2010-12-28 00:00:00|195035|2013-11-27 00:00:00|1
Becoming A Billionaire|Tai Seng||Discontinued|SUB|4:3|39.95|NR|UNK|Foreign|1.33:1|652722237013|2011-07-26 00:00:00|211837|2013-11-27 00:00:00|1
Behavior Therapy For Tourette Syndrome In Children And Comprehensive Behavioral Interventions For Tics [CBIT] (DVD-ROM)|Routledge||Out|2.0|4:3|100|NR|2013|Special Interest|1.33:1|9780415841757|2013-11-30 00:00:00|239128|2013-11-26 00:00:00|1
Beloved Family Favorites: 20 Movies: Jack And The Beanstalk (2010) / Jr. Detective Agency / Fishtales / ...|Mill Creek Entertainment||Out|VAR|VAR|9.98|VAR|VAR|Family|VAR|683904530981|2013-12-01 00:00:00|253510|2013-11-26 00:00:00|1
Bet To Basic|Tai Seng||Discontinued|SUB|LBX|14.95|NR|2006|Foreign|1.85:1|112117834017|2006-08-29 00:00:00|89473|2013-11-27 00:00:00|1
Better Tomorrow (Tai Seng)|Tai Seng||Discontinued|SUB|LBX|19.95|NR|1986|Foreign|1.85:1|601643006642|2000-11-27 00:00:00|667|2013-11-27 00:00:00|1
Better Tomorrow 2 (Tai Seng)|Tai Seng||Discontinued|SUB|LBX|19.95|NR|1987|Foreign|1.85:1|601643006741|2000-11-27 00:00:00|668|2013-11-27 00:00:00|1
Better Tomorrow 3|Tai Seng||Discontinued|SUB|LBX|19.95|NR|1990|Foreign|1.85:1|601643006840|2000-11-27 00:00:00|669|2013-11-27 00:00:00|1
Bi Chun Mu: Dance With Sword|Tai Seng||Discontinued|SUB|4:3|59.95|NR|2005|Foreign|1.33:1|312117507014|2007-05-22 00:00:00|107535|2013-11-27 00:00:00|1
Big Bullet|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1996|Foreign|1.85:1|601643484341|2000-05-23 00:00:00|691|2013-11-27 00:00:00|1
Big Star: Nothing Can Hurt Me|Magnolia Pictures||Out|2.0|LBX, 16:9|26.98|PG-13|2012|Music|1.85:1|876964006101|2013-11-26 00:00:00|251187|2013-11-26 00:00:00|1
Big Star: Nothing Can Hurt Me (Blu-ray)|Magnolia Pictures||Out|2.0|LBX, 16:9, BLU-RAY|29.98|PG-13|2012|Music|1.85:1|876964006118|2013-11-26 00:00:00|251213|2013-11-26 00:00:00|1
Bill Cosby: Far From Finished|Comedy Central||Out|2.0|LBX, 16:9|16.99|NR|2013|Comedy|1.78:1|097368053045|2013-11-26 00:00:00|252746|2013-11-26 00:00:00|1
Bill Cosby: Far From Finished (Blu-ray)|Comedy Central||Out|2.0|LBX, 16:9, BLU-RAY|22.99|NR|2013|Comedy|1.78:1|032429144010|2013-11-26 00:00:00|252764|2013-11-26 00:00:00|1
Bizarre Love Triangle|Tai Seng||Discontinued|SUB|LBX, 16:9|14.95|NR|2002|Action/Adventure|1.85:1|601641690249|2005-09-20 00:00:00|68362|2013-11-27 00:00:00|1
Black Cat (1991/ Subtitled)|Tai Seng||Discontinued|SUB|LBX|29.95|NR|1991|Foreign|1.85:1|601643199146|2000-02-22 00:00:00|741|2013-11-27 00:00:00|1
Black Cat (1991/ Subtitled/ Dubbed)|Tai Seng||Discontinued|SUB|LBX|29.95|NR|1991|Foreign|1.85:1|601643678047|2000-12-05 00:00:00|8983|2013-11-27 00:00:00|1
Black Cat 2|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1992|Foreign|1.85:1|601643271941|2000-02-22 00:00:00|742|2013-11-27 00:00:00|1
Black Panther Warriors|Tai Seng||Discontinued|SUB|LBX|9.95|NR|1993|Action/Adventure|1.85:1|601643328348|2002-07-30 00:00:00|18091|2013-11-27 00:00:00|1
Black Ransom|Tai Seng||Discontinued|SUB|LBX, 16:9|19.95|NR|2010|Foreign|2.35:1|112121615015|2010-08-31 00:00:00|186458|2013-11-27 00:00:00|1
Blacksheep Affair|Tai Seng||Discontinued|SUB|LBX|24.95|NR|1998|Foreign|1.85:1|601643597041|2000-02-22 00:00:00|766|2013-11-27 00:00:00|1
Blazing Temple (Tai Seng)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1976|Action/Adventure|1.66:1|601641055840|2002-01-22 00:00:00|14691|2013-11-27 00:00:00|1
Blonde Fury|Tai Seng||Discontinued|SUB|LBX|19.95|NR|1989|Foreign|1.85:1|601643044743|2003-03-18 00:00:00|26542|2013-11-27 00:00:00|1
Blood Moons: Decoding The Imminent Heavenly Signs|WND Books|2014-03-11 00:00:00|Pending|2.0|4:3|19.95|NR|2014|Special Interest|1.33:1|9781936488261|2014-03-11 00:00:00|256449|2013-11-27 00:00:00|0
Blood Rules|Tai Seng||Discontinued|5.1|LBX|14.95|NR|2000|Drama|1.85:1|601643843742|2001-08-14 00:00:00|12156|2013-11-27 00:00:00|1
Bloody Secret|Tai Seng||Discontinued|SUB|LBX|14.95|NR|2000|Action/Adventure|1.85:1|601643925042|2002-10-22 00:00:00|20733|2013-11-27 00:00:00|1
Blue (2003)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|2003|Foreign|1.85:1|601641675543|2005-11-15 00:00:00|71528|2013-11-27 00:00:00|1
Body Weapon (Special Edition)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1999|Action/Adventure|1.85:1|601643941745|2001-07-17 00:00:00|11503|2013-11-27 00:00:00|1
Bone Crushing Kid|Tai Seng||Discontinued|2.0|4:3|7.95|NR|1979|Action/Adventure|1.33:1|601643778648|2000-08-29 00:00:00|7237|2013-11-27 00:00:00|1
Boneshop Of The Heart: Outsider Art From The American South|Small Change Productions||Discontinued|2.0|4:3|24.95|NR|1991|Documentary|1.33:1|880198126290|2011-08-30 00:00:00|211900|2013-11-27 00:00:00|1
Bonnie & Clyde (2013)|Sony Pictures|2014-01-28 00:00:00|Pending|5.1|LBX, 16:9|45.99|NR|2013|Drama|1.78:1|043396433175|2014-01-28 00:00:00|256462|2013-11-27 00:00:00|0
Bonnie & Clyde (2013/ DVD & Blu-ray Combo w/ Digital Copy)|Sony Pictures|2014-01-28 00:00:00|Pending|5.1 TRUEHD|LBX, 16:9, BLU-RAY|55.99|NR|2013|Drama|1.78:1|043396433144|2014-01-28 00:00:00|256460|2013-11-27 00:00:00|0
Bonnie And Clyde (1967/ Pan & Scan)|Warner Brothers||Discontinued|1.0|4:3 P&S|19.98|NR|1967|Drama|1.33:1|085391442325|1997-03-25 00:00:00|853|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen)|Warner Brothers||Out|1.0|LBX, 16:9|14.96|R|1967|Drama|1.85:1|883929165452|2010-12-07 00:00:00|191597|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ Blu-ray)|Warner Brothers||Out|1.0|LBX, 16:9, BLU-RAY|24.98|R|1967|Drama|1.85:1|085391156772|2008-03-25 00:00:00|127385|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ Blu-ray/ Academy Awards Gold O-Sleeve)|Warner Brothers||Out|1.0|LBX, 16:9, BLU-RAY|19.98|R|1967|Drama|1.85:1|883929113378|2010-02-02 00:00:00|171423|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ HD-DVD)|Warner Brothers||Discontinued|1.0|LBX, 16:9, HD-DVD|34.99|R|1967|Drama|1.85:1|085391156789|2008-04-15 00:00:00|127390|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ Old Version/ 1999 Release)|Warner Brothers||Discontinued|1.0|4:3 P&S, LBX, 16:9|14.96|NR|1967|Drama|1.85:1|085391727422|1999-05-18 00:00:00|854|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ Old Version/ 2010 Release)|Warner Brothers||Out|1.0|LBX, 16:9|12.97|NR|1967|Drama|1.85:1|883929143498|2010-06-08 00:00:00|183916|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ Special Edition)|Warner Brothers||Out|1.0|LBX, 16:9|19.96|NR|1967|Drama|1.85:1|085391167983|2008-03-25 00:00:00|127352|2013-11-27 00:00:00|1
Bonnie And Clyde (1967/ Widescreen/ Ultimate Collector's Edition)|Warner Brothers||Out|1.0|LBX, 16:9|20.97|NR|1967|Drama|1.85:1|085391167976|2008-03-25 00:00:00|127339|2013-11-27 00:00:00|1
Book And Sword|Tai Seng||Discontinued|SUB|4:3|14.95|NR|2002|Foreign|1.33:1|601641682541|2005-11-15 00:00:00|71530|2013-11-27 00:00:00|1
Book And Sword: The Final Battle (2-Disc)|Tai Seng||Discontinued|SUB|4:3|7.95|NR|UNK|Foreign|1.33:1|507117963025|2006-11-28 00:00:00|96461|2013-11-27 00:00:00|1
Book And The Sword|Tai Seng||Discontinued|SUB|LBX, 16:9|59.95|NR|2008|Foreign|1.85:1|312720644014|2010-01-26 00:00:00|173583|2013-11-27 00:00:00|1
Born To Kill (1996)|Tai Seng||Discontinued|SUB|LBX|9.95|NR|1996|Foreign|1.85:1|112106466014|2008-05-27 00:00:00|134790|2013-11-27 00:00:00|1
Born Wild|Tai Seng||Discontinued|5.1/DTS|LBX|24.95|NR|2001|Action/Adventure|1.66:1|601643993041|2002-01-22 00:00:00|14692|2013-11-27 00:00:00|1
Boy Mir: Ten Years In Afghanistan|Seventh Art Productions||Discontinued|2.0|4:3|25|NR|2011|Documentary|1.33:1|880198129796|2012-04-24 00:00:00|225422|2013-11-27 00:00:00|1
Boy Who Plays On The Buddhas Of Bamiyan|Seventh Art Productions||Discontinued|2.0|4:3|25|NR|2004|Documentary|1.33:1|880198128898|2012-02-28 00:00:00|222293|2013-11-27 00:00:00|1
Brazil: An Inconvenient History|Seventh Art Productions||Discontinued|2.0|4:3|25|NR|2000|Documentary|1.33:1|880198128799|2012-02-28 00:00:00|222278|2013-11-27 00:00:00|1
Brazilian Jiu-Jitsu Alliance: Standing Techniques By Paulo Sergio Santos|BayView Films||Out|2.0|4:3|29.99|NR|2013|Special Interest|1.33:1|874482005170|2013-11-26 00:00:00|252101|2013-11-26 00:00:00|1
Brazilian Jiu-Jitsu: Basic Techniques: The Secrets Of Detail By Marco Antonio Barbosa|BayView Films||Out|2.0|4:3|29.99|NR|2013|Special Interest|1.33:1|874482005194|2013-11-26 00:00:00|252086|2013-11-26 00:00:00|1
Breaking Bad: The Complete 1st - 6th Seasons: The Complete Series (Blu-ray)|Sony Pictures||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|299.99|NR|VAR|TV Classics|1.78:1|043396427280|2013-11-26 00:00:00|252849|2013-11-26 00:00:00|1
Breaking Bad: The Complete 6th Season: The Final Season|Sony Pictures||Out|5.1|LBX, 16:9|55.99|NR|2013|TV Classics|1.78:1|043396427303|2013-11-26 00:00:00|252402|2013-11-26 00:00:00|1
Breaking Bad: The Complete 6th Season: The Final Season (Blu-ray)|Sony Pictures||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|65.99|NR|2013|TV Classics|1.78:1|043396427297|2013-11-26 00:00:00|252367|2013-11-26 00:00:00|1
Breaking Free Recruitment And Training (DVD/CD-ROM Combo)|Gospel Publishing House||Out|2.0|4:3|19.99|NR|2013|Special Interest|1.33:1|9781607312475|2013-11-30 00:00:00|227460|2013-11-26 00:00:00|1
Bride With White Hair (Special Edition)|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1993|Foreign|2.35:1|601643452241|1998-07-21 00:00:00|923|2013-11-27 00:00:00|1
Bride With White Hair 2|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1993|Foreign|2.35:1|601643452340|1998-07-21 00:00:00|922|2013-11-27 00:00:00|1
Brother Of Darkness|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1994|Action/Adventure|1.85:1|601643347745|2001-11-20 00:00:00|13440|2013-11-27 00:00:00|1
Bruce Lee: A Dragon Story (Tai Seng/ Alternate UPC)|Tai Seng||Discontinued|DUB|4:3|7.95|NR|1976|Action/Adventure|1.33:1|601643140247|2002-09-17 00:00:00|63343|2013-11-27 00:00:00|1
